ts,coin,mark,oi,funding,premium,n_whales,n_long,n_short,long_sz,short_sz,long_ntl,short_ntl,long_upnl,short_upnl,wavg_entry_long,wavg_entry_short,net_sz,tracked_oi_pct,min_value,n_accounts
2026-08-20T21:42:31+00:00,ETH,2319.7,889024.8496000004,1.25e-05,-4.31072e-05,74,37,37,277166.4152,232150.0963,642930176.919,538512275.02876,60223381.81967399,-59263841.85426498,2102.3663302870364,2064.3859098404905,45016.31889999999,57.28934480618367,,
2026-08-20T23:00:28+00:00,ETH,2315.6,906946.381,1.25e-05,0.0001987161,73,36,37,283128.50690000004,226478.3744,655594050.5228701,524424607.00515,59082299.2327,-57073722.586215004,2106.85351918113,2063.5511029187824,56650.132500000014,56.18930644368489,,
2026-08-20T23:54:38+00:00,ETH,2328.7,914178.1730000008,1.25e-05,0.0004339066,72,35,37,284613.26790000004,229948.4794,662865901.18348,535521985.98552,62714214.671801,-59479586.57000899,2108.65150334358,2070.209907835568,54664.78850000001,56.28681175042664,,
2026-08-21T03:30:56+00:00,ETH,2351.5,892281.8022000002,1.25e-05,0.0003232887,73,34,39,276997.81860000006,233782.5537,651525032.79945,549827392.7364001,69604381.04020698,-62664903.036985,2100.8081153207568,2083.8230059034126,43215.2649,57.244288860383065,,
2026-08-21T05:20:36+00:00,ETH,2363.0,896437.3405999999,1.25e-05,0.0004233163,72,36,36,276548.2101000001,234965.478,653417077.1734099,555185064.63736,72441062.74956699,-65162565.33597599,2100.807844982595,2085.504712862789,41582.73210000001,57.06072972792897,,
2026-08-21T07:56:56+00:00,ETH,2373.3,894404.4859999997,1.25e-05,0.0005143382,73,37,36,278211.5407,238746.3334,660270061.9844301,566598816.98092,74841582.131854,-66922470.92813299,2104.251345220906,2092.911602970733,39465.20729999998,57.79911462787545,,
2026-08-21T09:55:09+00:00,ETH,2409.5,931127.2674,1.28958e-05,0.0007059507,76,40,36,283240.48730000004,253558.9464,682571560.6983099,610987539.5961299,86056640.079231,-74224116.112337,2106.031383658268,2116.912612197962,29681.54090000001,57.65049016327411,,
2026-08-21T11:01:45+00:00,ETH,2394.6,923177.0464,1.25e-05,0.0008774129,75,40,35,282726.38860000006,237399.9509,677111765.4197099,568566920.16001,81747827.124536,-65701459.82177401,2105.789957060421,2118.216902807889,45326.4377,56.34090898688099,,
2026-08-21T14:41:52+00:00,ETH,2382.7,899737.9413999993,1.25e-05,0.0001427516,77,41,36,279893.5765,242718.2847,666778925.87354,578250734.5479699,77824742.988703,-66819381.245022,2104.202602532055,2107.093344271722,37175.29180000001,58.0848975188055,5000000.0,693.0
2026-08-21T16:01:54+00:00,ETH,2394.6,908679.4489999996,1.25e-05,8.35352e-05,77,41,36,275622.26700000005,245574.8958,659926408.8435299,588021016.0973301,80526883.709944,-70316068.783078,2102.1456010874585,2108.1302464894748,30047.371200000016,57.35764832951561,5000000.0,700.0
2026-08-21T17:16:16+00:00,ETH,2415.4,903884.8725999998,1.25e-05,0.0005384807,78,41,37,281508.28620000003,239778.0119,679938770.06337,579125096.4293001,85892006.391652,-73048381.202274,2110.223295137712,2110.601473417217,41730.27430000002,57.67175819643209,5000000.0,697.0
2026-08-21T19:08:46+00:00,ETH,2413.1,873963.1458000008,1.25e-05,0.0,77,43,34,282042.90260000003,227879.6791,680614403.9028699,549905412.99156,85073241.649793,-71247373.18190998,2111.5217194889697,2100.4809716115183,54163.223499999986,58.34600510908633,5000000.0,684.0
